"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   312";
"Trial ID";"311";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:27:33";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0311a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   312.mpg";
"Video start time";"02/10/2017 11:27:33";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"02/10/2017 11:27:33";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"8.1 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"1red_2";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
6.960;0.000;-39.451;11.9414;19.1708;10.5715;0.82538;"-";"-";1;0;0;0;0;0;1;1;
7.000;0.040;-38.031;11.908;19.8545;9.46704;0.834531;1.42045;35.5114;1;0;0;0;0;0;1;1;
7.040;0.080;-36.5684;11.9025;19.8282;10.6504;0.839067;1.46256;36.5641;1;0;0;0;0;0;1;1;
7.080;0.120;-35.0873;11.9375;19.8282;10.6241;0.823788;1.48157;37.0391;1;0;0;0;0;0;1;1;
7.120;0.160;-33.6046;12.0204;20.3541;10.5189;0.834025;1.48496;37.124;1;0;0;0;0;0;1;1;
7.160;0.200;-32.1313;12.155;20.7223;10.1508;0.829033;1.4794;36.985;1;0;0;0;0;0;1;1;
7.200;0.240;-30.6741;12.343;20.5908;11.0186;0.839479;1.46933;36.7333;1;0;0;0;0;0;1;1;
7.240;0.280;-29.2368;12.585;21.4323;10.7819;0.816319;1.45754;36.4385;1;0;0;0;0;0;1;1;
7.280;0.320;-27.8216;12.881;21.0379;11.7023;0.840878;1.44577;36.1443;1;0;0;0;0;0;1;1;
7.320;0.360;-26.4298;13.2308;21.5901;11.0186;0.78777;1.4351;35.8774;1;0;0;0;0;0;1;1;
7.360;0.400;-25.062;13.6343;21.669;12.0705;0.810809;1.4261;35.6524;1;0;0;0;0;0;1;1;
7.400;0.440;-23.6706;14.0948;21.4586;12.5701;0.796819;1.46563;36.6408;1;0;0;0;0;0;1;1;
7.440;0.480;-22.3274;14.6178;22.4053;12.6227;0.816175;1.44145;36.0362;1;0;0;0;0;0;1;1;
7.480;0.520;-21.0273;15.2107;22.642;10.3874;0.809534;1.42884;35.7211;1;0;0;0;0;0;1;1;
7.520;0.560;-19.7772;15.8638;22.1424;10.8608;0.825611;1.41053;35.2632;1;0;0;0;0;0;1;1;
7.560;0.600;-18.5639;16.5632;21.0642;10.3349;0.809726;1.40039;35.0097;1;0;0;0;0;0;1;1;
7.600;0.640;-17.3862;17.2962;22.3527;11.0186;0.810246;1.38714;34.6784;1;0;0;0;0;0;1;1;
7.640;0.680;-16.2296;18.0528;22.4053;10.6767;0.815373;1.38212;34.5529;1;0;0;0;0;0;1;1;
7.680;0.720;-15.0857;18.8219;23.0628;11.3342;0.836795;1.3784;34.4601;1;0;0;1;0;0;0;1;
7.720;0.760;-13.9414;19.5925;23.1417;10.1771;0.807334;1.3796;34.4901;1;0;0;1;0;0;0;1;
7.760;0.800;-12.7964;20.3524;24.3776;11.2816;0.844142;1.37423;34.3556;1;0;0;1;0;0;0;1;
7.800;0.840;-11.641;21.0934;24.1935;11.0712;0.837534;1.37261;34.3152;1;0;0;1;0;0;0;1;
7.840;0.880;-10.4809;21.8143;24.5354;11.4919;0.831807;1.36582;34.1454;1;0;0;1;0;0;0;1;
7.880;0.920;-9.33309;22.5212;24.3513;9.80891;0.81096;1.34802;33.7006;1;0;0;1;0;0;0;1;
7.920;0.960;-8.22129;23.2239;24.141;11.676;0.805436;1.31527;32.8818;1;0;0;1;0;0;0;1;
7.960;1.000;-7.15379;23.9316;23.6413;11.2816;0.773025;1.28076;32.019;1;0;0;1;0;0;0;1;
8.000;1.040;-6.14793;24.648;23.9043;12.3072;0.77538;1.2349;30.8724;1;0;0;1;0;0;0;1;
8.040;1.080;-5.21482;25.3783;23.168;11.5182;0.751408;1.18494;29.6235;1;0;0;1;0;0;0;1;
8.080;1.120;-4.38054;26.1291;22.195;10.44;0.714703;1.12238;28.0595;1;0;0;1;0;0;0;1;
8.120;1.160;-3.66072;26.8982;21.5638;9.67742;0.733421;1.05341;26.3353;1;0;0;1;0;0;0;1;
8.160;1.200;-3.08591;27.6757;21.4323;8.65182;0.732729;0.966866;24.1716;1;0;0;1;0;0;0;1;
8.200;1.240;-2.64603;28.4475;21.2219;9.46704;0.73309;0.888409;22.2102;1;0;0;1;0;0;0;1;
8.240;1.280;-2.34838;29.2059;21.0379;9.38815;0.711748;0.814655;20.3664;1;0;0;1;0;0;0;1;
8.280;1.320;-2.1861;29.9392;20.5382;10.1245;0.681154;0.751095;18.7774;1;0;0;1;0;0;0;1;
8.320;1.360;-2.16166;30.6295;20.3804;9.46704;0.657816;0.690706;17.2676;1;0;0;1;0;0;0;1;
8.360;1.400;-2.25386;31.2534;19.6441;9.04628;0.683209;0.630655;15.7664;1;0;0;1;0;0;0;1;
8.400;1.440;-2.44746;31.7932;19.0656;7.57363;0.696736;0.573522;14.3381;1;0;0;1;0;0;0;1;
8.440;1.480;-2.71765;32.2275;18.9867;7.33696;0.722116;0.511424;12.7856;1;0;0;1;0;0;0;1;
8.480;1.520;-3.04852;32.5504;18.8552;5.86431;0.751175;0.462313;11.5578;1;0;0;1;0;0;0;1;
8.520;1.560;-3.41048;32.7431;19.4337;4.41795;0.732952;0.410057;10.2514;1;0;0;1;0;0;0;1;
8.560;1.600;-3.79882;32.8056;19.5652;6.75842;0.630013;0.393342;9.83356;1;0;0;1;0;0;0;1;
8.600;1.640;-4.19469;32.7227;18.9867;8.20477;0.60143;0.404464;10.1116;1;0;0;1;0;0;0;1;
8.640;1.680;-4.57849;32.4997;18.6711;5.9432;0.688749;0.443862;11.0966;1;0;0;1;0;0;0;1;
8.680;1.720;-4.92863;32.151;18.1978;6.57433;0.785545;0.49416;12.354;1;0;0;1;0;0;0;1;
8.720;1.760;-5.22079;31.7011;19.3285;7.07398;0.792751;0.536466;13.4117;1;0;0;1;0;0;0;1;
8.760;1.800;-5.42076;31.1639;19.2234;6.15358;0.771096;0.573144;14.3286;1;0;0;1;0;0;0;1;
8.800;1.840;-5.51993;30.5622;20.3278;8.20477;0.769187;0.6098;15.245;1;0;0;1;0;0;0;1;
8.840;1.880;-5.51523;29.9166;21.3797;6.46914;0.763326;0.645686;16.1421;1;0;0;1;0;0;0;1;
8.880;1.920;-5.40413;29.2456;21.5638;8.49404;0.733884;0.680087;17.0022;1;0;0;1;0;0;0;1;
8.920;1.960;-5.18276;28.5644;21.2745;9.49334;0.670977;0.716327;17.9082;1;0;0;1;0;0;0;1;
8.960;2.000;-4.82898;27.9007;20.5382;11.1501;0.727101;0.752068;18.8017;1;0;0;1;0;0;0;1;
9.000;2.040;-4.36309;27.2654;20.5119;7.70512;0.769613;0.787841;19.696;1;0;0;1;0;0;0;1;
9.040;2.080;-3.79635;26.6903;20.8012;7.59993;0.780649;0.807417;20.1854;1;0;0;1;0;0;0;1;
9.080;2.120;-3.13999;26.1891;19.8282;8.12588;0.807668;0.825851;20.6463;1;0;0;1;0;0;0;1;
9.120;2.160;-2.39982;25.7746;20.5645;8.73072;0.816184;0.848303;21.2076;1;0;0;1;0;0;0;1;
9.160;2.200;-1.59013;25.4492;21.5375;8.9148;0.769921;0.872622;21.8155;1;0;0;1;0;0;0;1;
9.200;2.240;-0.723913;25.2193;23.2994;9.75631;0.753364;0.896214;22.4053;1;0;0;1;0;0;0;1;
9.240;2.280;0.184084;25.0823;23.0365;10.4137;0.785368;0.918278;22.957;1;0;0;1;0;0;0;1;
9.280;2.320;1.11782;25.0416;22.4842;9.8615;0.792283;0.934628;23.3657;1;0;0;1;0;0;0;1;
9.320;2.360;2.06977;25.0864;20.4856;9.8352;0.720589;0.952998;23.8249;1;0;0;1;0;0;0;1;
9.360;2.400;3.02411;25.2201;19.8282;6.17987;0.682159;0.96366;24.0915;1;0;0;1;0;0;0;1;
9.400;2.440;3.97389;25.423;20.1701;9.23036;0.702426;0.971216;24.2804;1;0;0;1;0;0;0;1;
9.440;2.480;4.92012;25.6897;20.2489;9.54593;0.709867;0.983112;24.5778;1;0;0;1;0;0;0;1;
9.480;2.520;5.87447;26.0067;21.1694;9.65112;0.747699;1.00563;25.1407;1;0;0;1;0;0;0;1;
9.520;2.560;6.8484;26.3596;22.9839;8.44144;0.792293;1.03586;25.8965;1;0;0;1;0;0;0;1;
9.560;2.600;7.84893;26.726;24.2987;8.8359;0.839886;1.06554;26.6384;1;0;0;1;0;0;0;1;
9.600;2.640;8.8778;27.0903;24.325;8.38885;0.849922;1.09147;27.2867;1;0;0;1;0;0;0;1;
9.640;2.680;9.93979;27.4331;24.1147;9.8352;0.834444;1.11594;27.8986;1;0;0;1;0;0;0;1;
