"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   315";
"Trial ID";"314";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:34:41";
"Trial duration";"00:02:08";
"Recording after";"00:00:28";
"Recording duration";"00:01:40";
"Track";"Track filet0314a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   315.mpg";
"Video start time";"02/10/2017 11:34:41";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:02:08";
"Reference time";"02/10/2017 11:34:41";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"83.5 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"2green";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
28.200;0.000;-34.975;48.2961;10.4663;0.867812;0.321033;"-";"-";1;0;0;1;0;0;0;1;
28.240;0.040;-34.911;48.3137;10.6504;0.657433;0.348013;0.0663378;1.65844;1;0;0;1;0;0;0;1;
28.280;0.080;-34.8465;48.3317;10.6241;0.657433;0.38141;0.066967;1.67418;1;0;0;1;0;0;0;1;
28.320;0.120;-34.7815;48.35;10.9397;0.631136;0.366581;0.0675176;1.68794;1;0;0;1;0;0;0;1;
28.360;0.160;-34.7161;48.3684;11.0712;0.867812;0.350235;0.0679347;1.69837;1;0;0;1;0;0;0;1;
28.400;0.200;-34.6505;48.3869;10.9134;0.578541;0.343548;0.068234;1.70585;1;0;0;1;0;0;0;1;
28.440;0.240;-34.5845;48.4053;10.966;0.78892;0.341509;0.0684409;1.71102;1;0;0;1;0;0;0;1;
28.480;0.280;-34.5184;48.4236;11.1764;0.736325;0.365736;0.0685773;1.71443;1;0;0;1;0;0;0;1;
28.520;0.320;-34.4522;48.4417;11.1764;0.78892;0.372384;0.0686599;1.7165;1;0;0;1;0;0;0;1;
28.560;0.360;-34.3859;48.4597;11.3079;1.0256;0.346641;0.0687043;1.71761;1;0;0;1;0;0;0;1;
28.600;0.400;-34.3195;48.4775;11.4393;0.710028;0.370461;0.0687238;1.71809;1;0;0;1;0;0;0;1;
28.640;0.440;-34.252;48.4942;11.229;0.894109;0.345448;0.0695626;1.73907;1;0;0;1;0;0;0;1;
28.680;0.480;-34.1854;48.5119;11.413;0.710028;0.347083;0.0688571;1.72143;1;0;0;1;0;0;0;1;
28.720;0.520;-34.119;48.5297;11.5708;0.894109;0.37832;0.0688011;1.72003;1;0;0;1;0;0;0;1;
28.760;0.560;-34.0524;48.5465;11.5971;0.815217;0.349679;0.0687051;1.71763;1;0;0;1;0;0;0;1;
28.800;0.600;-33.986;48.5635;11.7023;0.78892;0.402466;0.0685159;1.7129;1;0;0;1;0;0;0;1;
28.840;0.640;-33.9193;48.581;11.7549;0.578541;0.369638;0.0689684;1.72421;1;0;0;1;0;0;0;1;
28.880;0.680;-33.8532;48.5983;11.8864;0.920407;0.342414;0.0683542;1.70885;1;0;0;1;0;0;0;1;
28.920;0.720;-33.7878;48.6167;11.6497;0.657433;0.33759;0.067934;1.69835;1;0;0;1;0;0;0;1;
28.960;0.760;-33.7236;48.6364;11.676;0.552244;0.351766;0.06714;1.6785;1;0;0;1;0;0;0;1;
29.000;0.800;-33.6596;48.6558;11.8864;0.841515;0.394133;0.0668478;1.6712;1;0;0;1;0;0;0;1;
29.040;0.840;-33.5957;48.675;11.6234;0.999299;0.364827;0.0667262;1.66816;1;0;0;1;0;0;0;1;
29.080;0.880;-33.5311;48.6945;12.0179;0.815217;0.394185;0.0675107;1.68777;1;0;0;1;0;0;0;1;
29.120;0.920;-33.4663;48.7135;11.7549;0.78892;0.369667;0.0675211;1.68803;1;0;0;1;0;0;0;1;
29.160;0.960;-33.4012;48.7324;12.0179;0.894109;0.390967;0.0677577;1.69394;1;0;0;1;0;0;0;1;
29.200;1.000;-33.3352;48.7513;12.0968;0.815217;0.383794;0.0686779;1.71695;1;0;0;1;0;0;0;1;
29.240;1.040;-33.2682;48.7707;12.1231;0.552244;0.379607;0.0697818;1.74455;1;0;0;1;0;0;0;1;
29.280;1.080;-33.2011;48.7892;12.1231;0.894109;0.386429;0.0695111;1.73778;1;0;0;1;0;0;0;1;
29.320;1.120;-33.133;48.8069;12.2283;0.578541;0.362062;0.0703704;1.75926;1;0;0;1;0;0;0;1;
29.360;1.160;-33.0644;48.8231;11.9916;0.815217;0.400926;0.0704876;1.76219;1;0;0;1;0;0;0;1;
29.400;1.200;-32.9956;48.8384;12.0968;0.946704;0.356238;0.0705319;1.7633;1;0;0;1;0;0;0;1;
29.440;1.240;-32.9286;48.8543;12.4386;0.920407;0.396035;0.0688807;1.72202;1;0;0;1;0;0;0;1;
29.480;1.280;-32.8601;48.8701;12.386;0.999299;0.390432;0.0702786;1.75697;1;0;0;1;0;0;0;1;
