"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   318";
"Trial ID";"317";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:42:25";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0317a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   318.mpg";
"Video start time";"02/10/2017 11:42:25";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"02/10/2017 11:42:25";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"24.3 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3green";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.120;0.000;-33.8533;-14.7741;21.2219;9.59853;0.656076;"-";"-";1;0;0;0;0;0;1;1;
7.160;0.040;-32.7901;-15.277;20.3015;9.33555;0.546134;1.17611;29.4027;1;0;0;0;0;0;1;1;
7.200;0.080;-31.8117;-15.6806;19.46;8.46774;0.509106;1.05836;26.459;1;0;0;0;0;0;1;1;
7.240;0.120;-30.9071;-15.9927;17.1196;10.0719;0.500665;0.956971;23.9243;1;0;0;0;0;0;1;1;
7.280;0.160;-30.0657;-16.2198;16.9618;8.25736;0.412361;0.871483;21.7871;1;0;0;0;0;0;1;1;
7.320;0.200;-29.2799;-16.3666;16.7514;6.83731;0.374408;0.79938;19.9845;1;0;0;0;0;0;1;1;
7.360;0.240;-28.5443;-16.4359;17.1459;6.70582;0.374353;0.738853;18.4713;1;0;0;0;0;0;1;1;
7.400;0.280;-27.8553;-16.4297;17.1196;5.86431;0.387155;0.689073;17.2268;1;0;0;0;0;0;1;1;
7.440;0.320;-27.2103;-16.3494;18.3555;6.60063;0.434192;0.649941;16.2485;1;0;0;0;0;0;1;1;
7.480;0.360;-26.6079;-16.1956;19.1445;6.57433;0.516036;0.621786;15.5446;1;0;0;0;0;0;1;1;
7.520;0.400;-26.0468;-15.969;18.8026;5.65393;0.423477;0.605066;15.1267;1;0;0;0;0;0;1;1;
7.560;0.440;-25.5935;-15.6189;17.0933;4.49684;0.422765;0.572844;14.3211;1;0;0;0;0;0;1;1;
7.600;0.480;-25.1756;-15.1919;17.9348;5.31206;0.395285;0.597424;14.9356;1;0;0;0;0;0;1;1;
7.640;0.520;-24.7986;-14.6927;18.4081;4.41795;0.418621;0.62551;15.6377;1;0;0;0;0;0;1;1;
7.680;0.560;-24.4206;-14.1272;20.3804;6.54804;0.554064;0.680259;17.0065;1;0;0;0;0;0;1;1;
7.720;0.600;-24.0624;-13.5045;23.1154;6.20617;0.701572;0.718332;17.9583;1;0;0;0;0;0;1;1;
