"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   319";
"Trial ID";"318";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:44:43";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0318a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   319.mpg";
"Video start time";"02/10/2017 11:44:43";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"02/10/2017 11:44:43";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"13.0 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3blue_2";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.320;0.000;-25.6697;-3.82662;34.4495;15.1473;0.712381;"-";"-";1;1;0;0;0;0;1;1;
7.360;0.040;-24.673;-3.21623;37.2896;16.1466;0.627191;1.16877;29.2191;1;0;0;0;0;0;1;1;
7.400;0.080;-23.6091;-2.65406;39.0252;15.4628;0.548865;1.20326;30.0814;1;0;0;0;0;0;1;1;
7.440;0.120;-22.4851;-2.13085;36.2903;14.9895;0.590663;1.23984;30.9961;1;0;0;0;0;0;1;1;
7.480;0.160;-21.3085;-1.63898;34.6336;15.4365;0.625949;1.27525;31.8813;1;0;0;0;0;0;1;1;
7.520;0.200;-20.0854;-1.17317;36.4481;16.0151;0.685027;1.30885;32.7212;1;0;0;0;0;0;1;1;
7.560;0.240;-18.8199;-0.729819;34.581;15.5943;0.720315;1.34087;33.5217;1;0;0;0;0;0;1;1;
7.600;0.280;-17.5151;-0.30649;31.9776;15.121;0.839013;1.37178;34.2945;1;0;0;0;0;0;1;1;
7.640;0.320;-16.1729;0.0984715;26.9811;17.7244;0.871472;1.40198;35.0496;1;0;0;0;0;0;1;1;
7.680;0.360;-14.7946;0.486175;27.1914;13.0435;0.864382;1.4318;35.7949;1;0;0;0;0;0;1;1;
7.720;0.400;-13.3809;0.857323;27.1126;10.44;0.852044;1.46154;36.5384;1;0;0;0;0;0;1;1;
7.760;0.440;-11.9005;1.1805;26.9548;11.0975;0.858729;1.51532;37.883;1;0;0;0;0;0;1;1;
7.800;0.480;-10.3784;1.47776;27.1651;11.9916;0.865908;1.55083;38.7707;1;0;0;0;0;0;1;1;
7.840;0.520;-8.83192;1.75996;27.0074;11.676;0.872136;1.57202;39.3004;1;0;0;0;0;0;1;1;
7.880;0.560;-7.25693;2.02218;27.8489;10.8345;0.861884;1.59667;39.9168;1;0;0;0;0;0;1;1;
7.920;0.600;-5.64131;2.33019;27.0863;12.0179;0.85836;1.64472;41.118;1;0;0;0;0;0;1;1;
7.960;0.640;-4.01331;2.6491;28.7167;10.7819;0.866678;1.65894;41.4735;1;0;0;0;0;0;1;1;
8.000;0.680;-2.42023;2.98241;27.6385;12.1231;0.856893;1.62758;40.6894;1;0;0;0;0;0;1;1;
8.040;0.720;-0.832687;3.31487;28.6115;11.6497;0.859539;1.62198;40.5495;1;0;0;0;0;0;1;1;
8.080;0.760;0.756547;3.67335;28.5852;12.4386;0.861812;1.62916;40.729;1;0;0;0;0;0;1;1;
8.120;0.800;2.34291;4.06518;29.3478;10.4926;0.868124;1.63404;40.851;1;0;0;1;0;0;0;1;
8.160;0.840;3.92253;4.48564;27.9804;12.0968;0.859728;1.63462;40.8654;1;0;0;1;0;0;0;1;
8.200;0.880;5.49451;4.93657;28.9271;11.7812;0.862414;1.63538;40.8844;1;0;0;1;0;0;0;1;
8.240;0.920;7.05703;5.41995;28.9271;12.1494;0.860715;1.63558;40.8896;1;0;0;1;0;0;0;1;
8.280;0.960;8.61873;5.94172;30.0842;11.2553;0.866147;1.64655;41.1639;1;0;0;1;0;0;0;1;
8.320;1.000;10.1677;6.50193;29.0586;12.386;0.860403;1.64721;41.1803;1;0;0;1;0;0;0;1;
8.360;1.040;11.7056;7.09731;28.8482;12.0968;0.854641;1.64912;41.2279;1;0;0;1;0;0;0;1;
8.400;1.080;13.227;7.72498;29.0586;13.1487;0.859533;1.64571;41.1428;1;0;0;1;0;0;0;1;
8.440;1.120;14.7341;8.38772;29.0849;11.3867;0.859148;1.64643;41.1607;1;0;0;1;0;0;0;1;
8.480;1.160;16.2254;9.0851;29.0849;12.6227;0.849934;1.64633;41.1582;1;0;0;1;0;0;0;1;
8.520;1.200;17.6991;9.81206;27.7963;12.1231;0.857908;1.6432;41.08;1;0;0;0;1;0;0;1;
8.560;1.240;19.1491;10.5662;28.5589;11.4393;0.866986;1.63442;40.8606;1;0;0;0;1;0;0;1;
8.600;1.280;20.5802;11.3518;28.2433;11.5182;0.866498;1.63255;40.8138;1;0;0;0;1;0;0;1;
8.640;1.320;21.9863;12.1637;27.6648;11.5708;0.866761;1.62369;40.5923;1;0;0;0;1;0;0;1;
8.680;1.360;23.3693;13.0044;28.0067;10.703;0.851209;1.61844;40.4609;1;0;0;0;1;0;0;1;
8.720;1.400;24.7318;13.8775;27.4807;11.939;0.827425;1.61823;40.4557;1;0;0;0;1;0;0;1;
8.760;1.440;26.0716;14.7833;26.2184;11.8338;0.854687;1.61727;40.4318;1;0;0;0;1;0;0;1;
8.800;1.480;27.3812;15.7244;26.797;10.9397;0.864254;1.61267;40.3167;1;0;0;0;1;0;0;1;
8.840;1.520;28.6523;16.6936;26.3762;11.2027;0.855835;1.59846;39.9615;1;0;0;0;1;0;0;1;
8.880;1.560;29.88;17.6796;27.3755;11.8338;0.847569;1.57457;39.3643;1;0;0;0;1;0;0;1;
8.920;1.600;31.0625;18.6922;26.9022;11.4656;0.846825;1.55689;38.9222;1;0;0;0;1;0;0;1;
8.960;1.640;32.2089;19.7316;25.6662;11.0186;0.850762;1.54746;38.6866;1;0;0;0;1;0;0;1;
