"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   320";
"Trial ID";"319";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:47:02";
"Trial duration";"00:01:49";
"Recording after";"00:00:09";
"Recording duration";"00:01:40";
"Track";"Track filet0319a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   320.mpg";
"Video start time";"02/10/2017 11:47:02";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:49";
"Reference time";"02/10/2017 11:47:02";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"46.9 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3red_2";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
9.320;0.000;-30.1237;10.9527;24.1147;11.3342;0.752593;"-";"-";1;0;0;0;0;0;1;1;
9.360;0.040;-28.8806;11.5225;24.2724;12.0442;0.781934;1.36752;34.188;1;0;0;0;0;0;1;1;
9.400;0.080;-27.6221;12.1415;25.3243;10.3086;0.772712;1.40251;35.0626;1;0;0;0;0;0;1;1;
9.440;0.120;-26.3537;12.8021;25.1928;11.0186;0.797967;1.43013;35.7532;1;0;0;0;0;0;1;1;
9.480;0.160;-25.0804;13.4972;26.1396;10.9397;0.780474;1.4506;36.2649;1;0;0;0;0;0;1;1;
9.520;0.200;-23.8061;14.2214;27.0074;11.4919;0.795669;1.46573;36.6432;1;0;0;0;0;0;1;1;
9.560;0.240;-22.5332;14.971;26.7707;11.5445;0.793601;1.4772;36.9299;1;0;0;0;0;0;1;1;
9.600;0.280;-21.2635;15.7435;27.2966;11.8864;0.79462;1.48624;37.156;1;0;0;0;0;0;1;1;
9.640;0.320;-19.998;16.5371;27.4544;11.2027;0.770808;1.49374;37.3435;1;0;0;0;0;0;1;1;
9.680;0.360;-18.7375;17.3507;27.1388;12.5701;0.777008;1.50031;37.5077;1;0;0;0;0;0;1;1;
9.720;0.400;-17.4823;18.1835;26.4025;11.8338;0.738163;1.50635;37.6587;1;0;0;0;0;0;1;1;
9.760;0.440;-16.2175;19.0976;26.4025;13.7272;0.768509;1.5606;39.015;1;0;0;1;0;0;0;1;
9.800;0.480;-14.9617;20.0175;26.0607;12.1757;0.710121;1.55663;38.9157;1;0;0;1;0;0;0;1;
9.840;0.520;-13.7156;20.9317;26.2973;13.175;0.718646;1.54548;38.637;1;0;0;1;0;0;0;1;
9.880;0.560;-12.4798;21.8373;25.5347;12.386;0.679558;1.5321;38.3026;1;0;0;1;0;0;0;1;
9.920;0.600;-11.2522;22.7252;25.5347;14.0954;0.717073;1.51509;37.8773;1;0;0;1;0;0;0;1;
9.960;0.640;-10.0267;23.5886;25.1665;12.2546;0.692615;1.49908;37.477;1;0;0;1;0;0;0;1;
10.000;0.680;-8.80624;24.4226;24.0358;14.0691;0.636594;1.47816;36.954;1;0;0;1;0;0;0;1;
10.040;0.720;-7.59107;25.2345;23.4572;11.8338;0.578342;1.46146;36.5364;1;0;0;1;0;0;0;1;
10.080;0.760;-6.39082;26.0227;24.0095;13.5431;0.629166;1.4359;35.8976;1;0;0;1;0;0;0;1;
10.120;0.800;-5.20135;26.804;24.0621;12.8857;0.698131;1.42312;35.5779;1;0;0;1;0;0;0;1;
10.160;0.840;-4.03866;27.5881;25.1928;11.4919;0.751562;1.4024;35.0601;1;0;0;1;0;0;0;1;
10.200;0.880;-2.90779;28.3889;24.9825;12.2546;0.736502;1.38569;34.6422;1;0;0;1;0;0;0;1;
10.240;0.920;-1.82468;29.2093;26.7181;12.1494;0.722992;1.35876;33.9689;1;0;0;1;0;0;0;1;
10.280;0.960;-0.802506;30.0595;26.797;12.5964;0.718674;1.32953;33.2384;1;0;0;1;0;0;0;1;
10.320;1.000;0.147401;30.9422;26.8233;12.912;0.759366;1.2967;32.4175;1;0;0;1;0;0;0;1;
10.360;1.040;1.01133;31.8587;26.4814;10.6504;0.749928;1.25953;31.4882;1;0;0;1;0;0;0;1;
10.400;1.080;1.78417;32.8068;26.9548;11.676;0.758183;1.22314;30.5786;1;0;0;1;0;0;0;1;
10.440;1.120;2.46698;33.7854;26.1396;10.9134;0.749856;1.19332;29.833;1;0;0;1;0;0;0;1;
10.480;1.160;3.04955;34.7881;25.7714;11.7812;0.73959;1.15962;28.9904;1;0;0;1;0;0;0;1;
10.520;1.200;3.5484;35.7888;25.114;9.44074;0.689616;1.11815;27.9538;1;0;0;1;0;0;0;1;
10.560;1.240;3.97559;36.7703;23.8254;9.9141;0.627866;1.07039;26.7598;1;0;0;1;0;0;0;1;
10.600;1.280;4.35956;37.7209;22.7209;9.41445;0.590312;1.02527;25.6317;1;0;0;1;0;0;0;1;
10.640;1.320;4.69158;38.622;22.0109;9.01999;0.600598;0.960352;24.0088;1;0;0;1;0;0;0;1;
10.680;1.360;5.00918;39.4557;21.2219;7.73142;0.542372;0.892134;22.3034;1;0;0;1;0;0;0;1;
10.720;1.400;5.31928;40.2101;20.3015;8.59923;0.539346;0.815635;20.3909;1;0;0;1;0;0;0;1;
10.760;1.440;5.64542;40.881;20.6434;9.38815;0.568044;0.745948;18.6487;1;0;0;1;0;0;0;1;
10.800;1.480;5.99883;41.4657;20.5382;8.20477;0.545841;0.683199;17.08;1;0;0;1;0;0;0;1;
10.840;1.520;6.39543;41.9765;20.8275;8.23107;0.619018;0.646664;16.1666;1;0;0;1;0;0;0;1;
10.880;1.560;6.8477;42.4113;21.0905;8.46774;0.736236;0.627381;15.6845;1;0;0;1;0;0;0;1;
10.920;1.600;7.36565;42.7815;21.3008;7.15288;0.795225;0.636682;15.9171;1;0;0;1;0;0;0;1;
10.960;1.640;7.94555;43.0906;21.8268;6.78471;0.758457;0.657132;16.4283;1;0;0;1;0;0;0;1;
11.000;1.680;8.58701;43.3465;21.6164;7.04769;0.731105;0.690598;17.2649;1;0;0;1;0;0;0;1;
11.040;1.720;9.28948;43.5482;22.7735;9.94039;0.77592;0.73086;18.2715;1;0;0;1;0;0;0;1;
11.080;1.760;10.0515;43.6954;23.7728;7.78401;0.77448;0.776101;19.4025;1;0;0;1;0;0;0;1;
11.120;1.800;10.8706;43.784;23.9306;9.8352;0.79464;0.82388;20.597;1;0;0;1;0;0;0;1;
11.160;1.840;11.7482;43.8138;24.2461;9.57223;0.810856;0.878142;21.9536;1;0;0;1;0;0;0;1;
11.200;1.880;12.687;43.7826;22.8261;9.99299;0.801651;0.939289;23.4822;1;0;0;1;0;0;0;1;
11.240;1.920;13.6827;43.6953;23.1942;9.8878;0.797803;0.999514;24.9879;1;0;0;1;0;0;0;1;
11.280;1.960;14.7378;43.5513;23.0102;9.38815;0.785404;1.06486;26.6215;1;0;0;1;0;0;0;1;
11.320;2.000;15.8515;43.3535;23.7202;10.1245;0.783557;1.13117;28.2793;1;0;0;1;0;0;0;1;
11.360;2.040;17.027;43.1048;23.9306;10.5715;0.793675;1.20153;30.0384;1;0;0;1;0;0;0;1;
11.400;2.080;18.2446;42.8122;24.4039;10.5715;0.813316;1.25222;31.3054;1;0;0;1;0;0;0;1;
11.440;2.120;19.4622;42.4879;24.0621;10.0193;0.820842;1.2601;31.5026;1;0;0;1;0;0;0;1;
11.480;2.160;20.6822;42.1311;24.4565;10.3349;0.81673;1.27105;31.7764;1;0;0;1;0;0;0;1;
11.520;2.200;21.8756;41.7484;24.0095;10.3349;0.804216;1.2533;31.3326;1;0;0;1;0;0;0;1;
11.560;2.240;23.0362;41.34;23.4309;10.9923;0.776236;1.23037;30.7592;1;0;0;1;0;0;0;1;
11.600;2.280;24.1521;40.9127;21.7742;10.0719;0.723509;1.19491;29.8728;1;0;0;1;0;0;0;1;
11.640;2.320;25.2081;40.4633;21.6427;10.1771;0.653844;1.14763;28.6907;1;0;0;1;0;0;0;1;
11.680;2.360;26.1807;39.9916;20.0649;9.99299;0.54709;1.08094;27.0234;1;0;0;1;0;0;0;1;
11.720;2.400;27.0408;39.5015;18.6448;8.57293;0.5377;0.989912;24.7478;1;0;0;1;0;0;0;1;
11.760;2.440;27.7734;38.9904;17.8559;7.52104;0.530675;0.893224;22.3306;1;0;0;1;0;0;0;1;
11.800;2.480;28.3636;38.4516;18.8026;7.78401;0.599941;0.799219;19.9805;1;0;0;1;0;0;0;1;
11.840;2.520;28.8092;37.8839;20.1438;8.65182;0.667228;0.721682;18.0421;1;0;0;1;0;0;0;1;
11.880;2.560;29.1093;37.2904;20.7486;7.17917;0.704782;0.66504;16.626;1;0;0;1;0;0;0;1;
11.920;2.600;29.2743;36.6788;21.3534;7.28436;0.689015;0.633486;15.8371;1;0;0;1;0;0;0;1;
11.960;2.640;29.3129;36.0542;22.0109;7.07398;0.690314;0.625855;15.6464;1;0;0;1;0;0;0;1;
12.000;2.680;29.2275;35.43;22.5894;9.15147;0.718952;0.630014;15.7503;1;0;0;1;0;0;0;1;
12.040;2.720;29.0127;34.8171;22.5105;7.28436;0.7098;0.649354;16.2338;1;0;0;1;0;0;0;1;
