"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   322";
"Trial ID";"321";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"02/10/2017 11:51:43";
"Trial duration";"00:01:48";
"Recording after";"00:00:08";
"Recording duration";"00:01:40";
"Track";"Track filet0321a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   322.mpg";
"Video start time";"02/10/2017 11:51:43";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:48";
"Reference time";"02/10/2017 11:51:43";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"5.8 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"4red";
"Release quadrant";"";
"trial";"probe1";
"Platform Position";"W";
"Day";"6";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
8.280;0.000;-44.4139;-7.57949;19.986;6.73212;0.765428;"-";"-";1;0;0;0;0;0;1;1;
8.320;0.040;-43.872;-7.30087;20.2227;7.38955;0.767792;0.609307;15.2327;1;0;0;0;0;0;1;1;
8.360;0.080;-43.2815;-7.06789;20.0649;6.78471;0.766515;0.634774;15.8693;1;0;0;0;0;0;1;1;
8.400;0.120;-42.646;-6.86732;20.8012;7.36325;0.778525;0.666481;16.662;1;0;0;0;0;0;1;1;
8.440;0.160;-41.9686;-6.6871;21.8794;7.07398;0.800661;0.700913;17.5228;1;0;0;0;0;0;1;1;
8.480;0.200;-41.2521;-6.51852;22.8787;7.67882;0.820916;0.736123;18.4031;1;0;0;0;0;0;1;1;
8.520;0.240;-40.4981;-6.35579;23.1942;8.62553;0.834967;0.771351;19.2838;1;0;0;0;0;0;1;1;
8.560;0.280;-39.7079;-6.19511;23.0102;8.07328;0.833852;0.806381;20.1595;1;0;0;0;0;0;1;1;
8.600;0.320;-38.8822;-6.03404;23.2205;8.8885;0.838613;0.841193;21.0298;1;0;0;0;0;0;1;1;
8.640;0.360;-38.0217;-5.87106;23.0891;7.8629;0.832084;0.875837;21.8959;1;0;0;0;0;0;1;1;
8.680;0.400;-37.1266;-5.70519;23.7202;8.73072;0.842753;0.910359;22.759;1;1;0;0;0;0;1;1;
8.720;0.440;-36.1694;-5.59276;24.325;7.96809;0.830674;0.963757;24.0939;1;1;0;0;0;0;1;1;
8.760;0.480;-35.1736;-5.47602;23.7202;9.12518;0.845263;1.00262;25.0656;1;1;0;0;0;0;1;1;
8.800;0.520;-34.1399;-5.33371;23.4572;8.15217;0.838996;1.04339;26.0848;1;1;0;0;0;0;1;1;
8.840;0.560;-33.0648;-5.15781;23.9043;9.33555;0.845575;1.08944;27.236;1;1;0;0;0;0;1;1;
8.880;0.600;-31.9744;-4.944;24.851;8.8885;0.836154;1.11111;27.7778;1;1;0;0;0;0;1;1;
8.920;0.640;-30.8967;-4.68912;25.3769;10.7819;0.842164;1.10748;27.6869;1;1;0;0;0;0;1;1;
8.960;0.680;-29.8203;-4.3758;26.534;10.9923;0.828619;1.12103;28.0259;1;1;0;0;0;0;1;1;
9.000;0.720;-28.766;-4.02471;29.2952;13.2276;0.825942;1.11126;27.7816;1;1;0;0;0;0;1;1;
9.040;0.760;-27.7327;-3.62433;29.2689;10.5978;0.815945;1.10817;27.7041;1;1;0;0;0;0;1;1;
9.080;0.800;-26.7342;-3.19539;31.6883;12.0968;0.778689;1.08671;27.1678;1;1;0;0;0;0;1;1;
9.120;0.840;-25.7747;-2.73864;32.5035;12.2283;0.682455;1.06272;26.568;1;1;0;0;0;0;1;1;
9.160;0.880;-24.8665;-2.2672;32.4246;15.121;0.700027;1.02323;25.5809;1;0;0;0;0;0;1;1;
9.200;0.920;-23.988;-1.78956;35.1332;13.5957;0.633738;0.999922;24.9981;1;0;0;0;0;0;1;1;
9.240;0.960;-23.1168;-1.31743;33.1609;13.9639;0.574683;0.990902;24.7725;1;0;0;0;0;0;1;1;
9.280;1.000;-22.2398;-0.857684;32.4772;12.5175;0.677148;0.990257;24.7564;1;0;0;0;0;0;1;1;
9.320;1.040;-21.3526;-0.42071;29.4267;13.0961;0.735089;0.988928;24.7232;1;0;0;0;0;0;1;1;
9.360;1.080;-20.4321;-0.0122949;34.0025;12.0442;0.721649;1.00707;25.1767;1;0;0;0;0;0;1;1;
9.400;1.120;-19.4736;0.351548;30.2156;15.1473;0.839176;1.0252;25.6299;1;0;0;0;0;0;1;1;
9.440;1.160;-18.4476;0.67975;32.7402;14.4635;0.776064;1.07725;26.9312;1;0;0;0;0;0;1;1;
9.480;1.200;-17.3757;0.960019;30.5575;13.5431;0.862885;1.10791;27.6979;1;0;0;0;0;0;1;1;
9.520;1.240;-16.2443;1.19802;30.7153;12.9909;0.844504;1.15617;28.9042;1;0;0;0;0;0;1;1;
9.560;1.280;-15.058;1.38249;27.7437;14.3846;0.86894;1.2006;30.0151;1;0;0;0;0;0;1;1;
9.600;1.320;-13.8315;1.5214;27.2703;11.676;0.855971;1.23435;30.8588;1;0;0;0;0;0;1;1;
9.640;1.360;-12.5856;1.60173;27.3492;10.6504;0.851546;1.24845;31.2111;1;0;0;0;0;0;1;1;
9.680;1.400;-11.338;1.61045;26.2447;11.5708;0.839319;1.24761;31.1903;1;0;0;0;0;0;1;1;
9.720;1.440;-10.1076;1.54623;26.9811;11.0449;0.769069;1.23214;30.8034;1;0;0;0;0;0;1;1;
9.760;1.480;-8.89102;1.39778;26.2184;11.0712;0.735006;1.22555;30.6387;1;0;0;0;0;0;1;1;
9.800;1.520;-7.72717;1.15856;24.6669;11.8601;0.767364;1.18819;29.7047;1;0;0;0;0;0;1;1;
9.840;1.560;-6.6192;0.826858;24.7195;10.7819;0.786579;1.15655;28.9138;1;0;0;0;0;0;1;1;
9.880;1.600;-5.57897;0.394483;26.7707;10.9397;0.815315;1.12651;28.1629;1;0;0;0;0;0;1;1;
9.920;1.640;-4.60903;-0.116795;26.3499;9.99299;0.827614;1.09644;27.4111;1;0;0;0;0;0;1;1;
9.960;1.680;-3.71825;-0.712138;29.4793;12.386;0.853054;1.07141;26.7853;1;0;0;0;0;0;1;1;
10.000;1.720;-2.89533;-1.37682;28.3222;11.2553;0.850078;1.05783;26.4457;1;0;0;0;0;0;1;1;
10.040;1.760;-2.14051;-2.10651;28.5852;12.0442;0.852709;1.04986;26.2466;1;0;0;0;0;0;1;1;
10.080;1.800;-1.46449;-2.88902;28.033;10.5452;0.851219;1.03407;25.8518;1;0;0;0;0;0;1;1;
10.120;1.840;-0.875184;-3.71276;26.9811;11.5708;0.827753;1.01283;25.3208;1;0;0;0;0;0;1;1;
10.160;1.880;-0.380606;-4.55993;26.9548;9.23036;0.812817;0.980972;24.5243;1;0;0;0;0;0;1;1;
10.200;1.920;0.0120497;-5.4168;27.6911;11.0975;0.798878;0.942558;23.564;1;0;0;0;0;0;1;1;
10.240;1.960;0.301509;-6.28249;26.8759;8.49404;0.788298;0.912798;22.8199;1;0;0;0;0;0;1;1;
10.280;2.000;0.493383;-7.14761;26.8233;9.8352;0.774067;0.886142;22.1535;1;0;0;0;0;0;1;1;
10.320;2.040;0.578593;-8.00214;27.2966;10.8871;0.803381;0.858773;21.4693;1;0;0;0;0;0;1;1;
