"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   629";
"Trial ID";"628";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:30:52";
"Trial duration";"00:01:48";
"Recording after";"00:00:08";
"Recording duration";"00:01:40";
"Track";"Track filet0628a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   629.mpg";
"Video start time";"09/10/2017 11:30:52";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:48";
"Reference time";"09/10/2017 11:30:52";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"19.6 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"2blue";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.720;0.000;-26.0658;10.8592;21.3534;11.2027;0.727993;"-";"-";1;0;0;0;0;0;1;1;
7.760;0.040;-26.3448;9.76392;21.6427;11.3342;0.649694;1.13028;28.257;1;0;0;0;0;0;1;1;
7.800;0.080;-26.7157;8.83696;20.8275;10.5452;0.626224;0.998425;24.9606;1;0;0;0;0;0;1;1;
7.840;0.120;-27.1295;8.06867;20.8538;8.9148;0.642542;0.872619;21.8155;1;0;0;0;0;0;1;1;
7.880;0.160;-27.5499;7.44648;21.5112;7.02139;0.648739;0.750915;18.7729;1;0;0;0;0;0;1;1;
7.920;0.200;-27.9541;6.96013;20.6697;8.25736;0.656952;0.63242;15.8105;1;0;0;0;0;0;1;1;
7.960;0.240;-28.328;6.60214;21.3797;7.8629;0.636033;0.517658;12.9415;1;0;0;0;0;0;1;1;
8.000;0.280;-28.6627;6.36724;21.4586;8.75701;0.619369;0.408888;10.2222;1;0;0;0;0;0;1;1;
8.040;0.320;-28.9526;6.25182;21.8794;6.36396;0.616599;0.311984;7.7996;1;0;0;0;0;0;1;1;
8.080;0.360;-29.1941;6.25345;21.4849;7.33696;0.669029;0.241555;6.03888;1;0;0;0;0;0;1;1;
8.120;0.400;-29.3853;6.37058;21.669;6.07468;0.663155;0.224215;5.60538;1;0;0;0;0;0;1;1;
8.160;0.440;-29.624;6.69735;20.5645;5.8906;0.679647;0.404652;10.1163;1;0;0;0;0;0;1;1;
8.200;0.480;-29.8171;7.13611;22.905;6.60063;0.739203;0.479363;11.9841;1;0;0;0;0;0;1;1;
8.240;0.520;-29.9494;7.66727;20.8538;7.46844;0.745053;0.547392;13.6848;1;0;0;0;0;0;1;1;
8.280;0.560;-29.9794;8.28466;22.905;7.57363;0.785269;0.618123;15.4531;1;0;0;0;0;0;1;1;
8.320;0.600;-29.8639;8.98699;22.6946;7.9418;0.771312;0.711777;17.7944;1;0;0;0;0;0;1;1;
8.360;0.640;-29.6257;9.7575;23.6939;7.73142;0.807649;0.806473;20.1618;1;0;0;0;0;0;1;1;
8.400;0.680;-29.2607;10.5723;22.8787;8.96739;0.826506;0.89279;22.3198;1;0;0;0;0;0;1;1;
8.440;0.720;-28.77;11.3891;23.6939;8.54663;0.841058;0.952864;23.8216;1;0;0;0;0;0;1;1;
8.480;0.760;-28.1637;12.2128;24.141;8.9148;0.859993;1.02278;25.5695;1;0;0;0;0;0;1;1;
8.520;0.800;-27.4407;13.0297;25.1665;9.8615;0.8378;1.09095;27.2739;1;0;0;0;0;0;1;1;
8.560;0.840;-26.6047;13.8621;25.1928;9.28296;0.853829;1.17968;29.4919;1;0;0;0;0;0;1;1;
8.600;0.880;-25.68;14.6881;25.4821;9.07258;0.838619;1.23993;30.9982;1;0;0;0;0;0;1;1;
