"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   630";
"Trial ID";"629";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:33:07";
"Trial duration";"00:01:51";
"Recording after";"00:00:11";
"Recording duration";"00:01:40";
"Track";"Track filet0629a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   630.mpg";
"Video start time";"09/10/2017 11:33:07";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:51";
"Reference time";"09/10/2017 11:33:07";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"38.2 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"2red";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
11.400;0.000;-39.8161;-21.7656;21.7742;8.46774;0.776656;"-";"-";1;0;0;0;0;0;1;1;
11.440;0.040;-40.6835;-22.1382;20.6697;11.0975;0.733341;0.943998;23.5999;1;0;0;0;0;0;1;1;
11.480;0.080;-41.5738;-22.3663;21.2482;9.8352;0.808459;0.919002;22.975;1;0;0;0;0;0;1;1;
11.520;0.120;-42.4773;-22.461;20.3804;8.28366;0.841256;0.908521;22.713;1;0;0;0;0;0;1;1;
11.560;0.160;-43.388;-22.4334;20.5382;8.25736;0.86199;0.911109;22.7777;1;0;0;0;0;0;1;1;
11.600;0.200;-44.3018;-22.2927;20.3804;7.8892;0.857883;0.924599;23.115;1;0;0;0;0;0;1;1;
11.640;0.240;-45.2163;-22.0462;19.8282;8.33626;0.84841;0.947067;23.6767;1;0;0;0;0;0;1;1;
11.680;0.280;-46.1296;-21.6992;21.0642;6.96879;0.843902;0.977038;24.4259;1;0;0;0;0;0;1;1;
11.720;0.320;-47.0409;-21.2559;19.5915;7.57363;0.837497;1.01339;25.3348;1;0;0;0;0;0;1;1;
11.760;0.360;-47.9494;-20.7192;19.4863;8.73072;0.842188;1.05523;26.3808;1;0;0;0;0;0;1;1;
11.800;0.400;-48.8547;-20.0912;18.4607;7.28436;0.829116;1.10173;27.5433;1;0;0;0;0;0;1;1;
11.840;0.440;-49.7827;-19.1938;18.0137;7.96809;0.853826;1.29093;32.2732;1;0;0;0;0;0;1;1;
11.880;0.480;-50.7876;-18.2709;17.4088;8.17847;0.854993;1.36443;34.1108;1;0;0;0;0;0;1;1;
11.920;0.520;-51.7005;-17.3459;15.4102;9.20407;0.855047;1.29965;32.4912;1;0;0;0;0;0;1;1;
11.960;0.560;-52.5293;-16.4139;15.0684;8.23107;0.830479;1.24723;31.1807;1;0;0;0;0;0;1;1;
12.000;0.600;-53.3038;-15.4674;14.2006;8.23107;0.83086;1.22295;30.5737;1;0;0;0;0;0;1;1;
12.040;0.640;-54.0245;-14.5236;12.4649;7.78401;0.771049;1.18748;29.687;1;0;0;0;0;0;1;1;
12.080;0.680;-54.6948;-13.6086;10.703;7.54734;0.730164;1.13422;28.3555;1;0;0;0;0;0;1;1;
12.120;0.720;-55.2888;-12.7446;8.33626;6.83731;0.62107;1.04856;26.214;1;0;0;0;0;0;1;1;
12.160;0.760;-55.7884;-11.9653;6.57433;4.49684;0.65385;0.925641;23.141;1;0;0;0;0;0;1;1;
12.200;0.800;-56.1889;-11.2855;4.26017;4.62833;0.603028;0.789051;19.7263;1;0;0;0;0;0;1;1;
