"Number of header lines:";"40";
"Experiment";"Bagni_Cyfip1_2017_batch2";
"System Independent Variable";
"Trial name";"Trial   635";
"Trial ID";"634";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:43:59";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0634a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\Bagni_Cyfip1_2017_batch2\Media Files\Trial   635.mpg";
"Video start time";"09/10/2017 11:43:59";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"09/10/2017 11:43:59";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"11.9 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"3blue_2";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.320;0.000;-25.7938;10.0083;21.6427;8.09958;0.821906;"-";"-";1;0;0;0;0;0;1;1;
7.360;0.040;-24.8366;9.97574;21.5638;7.9155;0.777135;0.957723;23.9431;1;0;0;0;0;0;1;1;
7.400;0.080;-23.8256;9.91269;20.6697;6.99509;0.69855;1.01296;25.3241;1;0;0;0;0;0;1;1;
7.440;0.120;-22.7798;9.81989;20.8538;10.1771;0.701553;1.04991;26.2477;1;0;0;0;0;0;1;1;
7.480;0.160;-21.7137;9.69973;22.0109;10.4663;0.779712;1.0728;26.82;1;0;0;0;0;0;1;1;
7.520;0.200;-20.637;9.55455;23.5098;9.80891;0.832814;1.08647;27.1617;1;0;0;0;0;0;1;1;
7.560;0.240;-19.5557;9.38626;24.3776;9.33555;0.837355;1.09434;27.3584;1;0;0;0;0;0;1;1;
7.600;0.280;-18.4736;9.19632;25.1403;10.7556;0.850728;1.09864;27.4659;1;0;0;0;0;0;1;1;
7.640;0.320;-17.3931;8.98582;25.0877;10.4663;0.843572;1.10083;27.5208;1;0;0;0;0;0;1;1;
7.680;0.360;-16.3155;8.7555;25.5084;10.9397;0.844629;1.1019;27.5475;1;0;0;0;0;0;1;1;
7.720;0.400;-15.2417;8.5058;25.3506;10.7819;0.848232;1.10246;27.5615;1;0;0;0;0;0;1;1;
7.760;0.440;-14.1007;8.22804;25.5347;11.1764;0.835089;1.17437;29.3592;1;0;0;0;0;0;1;1;
7.800;0.480;-12.9646;7.92883;23.6676;9.9141;0.776807;1.17477;29.3693;1;0;0;0;0;0;1;1;
7.840;0.520;-11.8477;7.61168;21.8005;9.75631;0.620251;1.16107;29.0268;1;0;0;0;0;0;1;1;
7.880;0.560;-10.7645;7.28814;20.5645;9.80891;0.567293;1.13047;28.2618;1;0;0;0;0;0;1;1;
7.920;0.600;-9.72119;6.96363;19.6441;9.54593;0.500852;1.09266;27.3164;1;0;0;0;0;0;1;1;
7.960;0.640;-8.72681;6.62588;18.4081;10.2297;0.575501;1.05018;26.2544;1;0;0;0;0;0;1;1;
8.000;0.680;-7.80014;6.26249;18.7763;10.5715;0.67551;0.995366;24.8842;1;0;0;0;0;0;1;1;
8.040;0.720;-6.94271;5.87889;19.0656;10.0719;0.669075;0.939331;23.4833;1;0;0;0;0;0;1;1;
8.080;0.760;-6.15148;5.46968;20.6171;9.80891;0.680827;0.890781;22.2695;1;0;0;0;0;0;1;1;
8.120;0.800;-5.41941;5.02751;21.5112;11.3079;0.72031;0.855248;21.3812;1;0;0;0;0;0;1;1;
8.160;0.840;-4.73706;4.54885;21.5375;9.33555;0.771664;0.833489;20.8372;1;0;0;0;0;0;1;1;
8.200;0.880;-4.1274;4.02247;21.9846;8.59923;0.755867;0.805462;20.1366;1;0;0;0;0;0;1;1;
8.240;0.920;-3.60533;3.44565;23.3257;8.33626;0.802088;0.777993;19.4498;1;0;0;0;0;0;1;1;
8.280;0.960;-3.17584;2.82932;23.5098;8.54663;0.84356;0.751214;18.7804;1;0;0;0;0;0;1;1;
8.320;1.000;-2.84594;2.18539;24.6932;10.4926;0.824805;0.723522;18.0881;1;0;0;0;0;0;1;1;
8.360;1.040;-2.62646;1.52293;24.7721;10.44;0.826161;0.697874;17.4469;1;0;0;0;0;0;1;1;
8.400;1.080;-2.51817;0.853248;23.7202;13.622;0.787154;0.678379;16.9595;1;0;0;0;0;0;1;1;
8.440;1.120;-2.52508;0.185607;21.8268;14.0428;0.696523;0.667677;16.6919;1;0;0;0;0;0;1;1;
8.480;1.160;-2.64189;-0.467282;22.7209;10.0456;0.754613;0.663255;16.5814;1;0;0;0;0;0;1;1;
8.520;1.200;-2.86702;-1.09034;22.0372;8.67812;0.816937;0.662484;16.5621;1;0;0;0;0;0;1;1;
8.560;1.240;-3.19759;-1.67304;22.1687;9.07258;0.845834;0.669939;16.7485;1;0;0;0;0;0;1;1;
8.600;1.280;-3.63528;-2.21861;23.4309;6.46914;0.83387;0.699439;17.486;1;0;0;0;0;0;1;1;
8.640;1.320;-4.15308;-2.70496;25.2191;6.10098;0.847308;0.710392;17.7598;1;0;0;0;0;0;1;1;
8.680;1.360;-4.75751;-3.13844;26.4025;7.59993;0.827415;0.743794;18.5949;1;0;0;0;0;0;1;1;
8.720;1.400;-5.41211;-3.53238;26.2973;9.99299;0.836064;0.764;19.1;1;0;0;0;0;0;1;1;
8.760;1.440;-6.13556;-3.895;26.087;7.8892;0.81561;0.809239;20.231;1;0;0;0;0;0;1;1;
8.800;1.480;-6.91656;-4.23112;25.4821;7.02139;0.803253;0.85026;21.2565;1;0;0;0;0;0;1;1;
8.840;1.520;-7.72109;-4.53761;23.2468;6.12728;0.73248;0.860934;21.5233;1;0;0;0;0;0;1;1;
8.880;1.560;-8.52414;-4.82465;22.195;8.62553;0.667965;0.852813;21.3203;1;0;0;0;0;0;1;1;
8.920;1.600;-9.318;-5.10207;22.3264;8.65182;0.662075;0.840933;21.0233;1;0;0;0;0;0;1;1;
8.960;1.640;-10.1054;-5.38197;21.4849;7.67882;0.674551;0.835691;20.8923;1;0;0;0;0;0;1;1;
