"Number of header lines:";"40";
"Experiment";"2017_batch2";
"System Independent Variable";
"Trial name";"Trial   637";
"Trial ID";"636";
"Arena name";"Water Maze";
"Arena ID";"0";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"West Platform";
"Detection settings";"7 steps - 22 LUX";
"Trial Control settings";"Probe - 100 s";
"Start time";"09/10/2017 11:48:42";
"Trial duration";"00:01:47";
"Recording after";"00:00:07";
"Recording duration";"00:01:40";
"Track";"Track filet0636a0000o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"D:\2017_batch2\Media Files\Trial   637.mpg";
"Video start time";"09/10/2017 11:48:42";
"Trial status";"Acquired";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"00:01:47";
"Reference time";"09/10/2017 11:48:42";
"Sof file";"";
"Missed samples";"0.0 %";
"Subject not found";"12.4 %";
"SIR calculation result";"Tr::eIdrUndefined";
"User-defined Independent Variable";
"Animal ID";"4blue";
"Release quadrant";"";
"trial";"probe2";
"Platform Position";"W";
"Day";"11";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"In zone";"In zone 2(Platform (E) / center-point)";"In zone 2(Platform (W) / center-point)";"In zone 3(South / center-point)";"In zone 3(West / center-point)";"In zone 3(North / center-point)";"In zone 3(East / center-point)";"Result 1";
"s";"s";"cm";"cm";"cm?";"cm?";"";"cm";"cm/s";"";"";"";"";"";"";"";"";
7.360;0.000;-36.2742;-7.5564;17.9611;7.33696;0.688662;"-";"-";1;1;0;0;0;0;1;1;
7.400;0.040;-35.6194;-8.00345;18.3029;8.23107;0.669992;0.79284;19.821;1;1;0;0;0;0;1;1;
7.440;0.080;-34.9849;-8.42948;18.1452;7.62623;0.70779;0.764307;19.1077;1;1;0;0;0;0;1;1;
7.480;0.120;-34.3652;-8.83342;19.3548;7.73142;0.741855;0.739743;18.4936;1;1;0;0;0;0;1;1;
7.520;0.160;-33.7545;-9.21535;18.3818;6.44285;0.727179;0.720235;18.0059;1;1;0;0;0;0;1;1;
7.560;0.200;-33.1483;-9.57569;18.3292;7.52104;0.702917;0.70521;17.6303;1;1;0;0;0;0;1;1;
7.600;0.240;-32.5432;-9.91492;17.0933;5.70652;0.693058;0.693746;17.3437;1;1;0;0;0;0;1;1;
7.640;0.280;-31.9368;-10.2335;17.3562;6.73212;0.600942;0.685016;17.1254;1;1;0;0;0;0;1;1;
7.680;0.320;-31.3274;-10.5317;17.7244;6.67952;0.553103;0.678374;16.9594;1;1;0;0;0;0;1;1;
7.720;0.360;-30.7142;-10.8098;17.9874;7.36325;0.578039;0.673338;16.8334;1;1;0;0;0;0;1;1;
7.760;0.400;-30.0964;-11.0679;17.9611;7.33696;0.589893;0.669578;16.7395;1;1;0;0;0;0;1;1;
7.800;0.440;-29.5211;-11.3033;18.8289;7.17917;0.648541;0.621618;15.5404;1;1;0;0;0;0;1;1;
7.840;0.480;-28.919;-11.5156;19.5652;7.15288;0.639531;0.638371;15.9593;1;1;0;0;0;0;1;1;
7.880;0.520;-28.3015;-11.7061;18.4607;7.10028;0.624269;0.646279;16.157;1;0;0;0;0;0;1;1;
7.920;0.560;-27.657;-11.8771;20.0123;7.75771;0.668837;0.666726;16.6682;1;0;0;0;0;0;1;1;
7.960;0.600;-26.9833;-12.0255;20.7749;7.8629;0.713846;0.689922;17.248;1;0;0;0;0;0;1;1;
8.000;0.640;-26.2745;-12.1559;20.8538;6.75842;0.758304;0.720678;18.0169;1;0;0;0;0;0;1;1;
8.040;0.680;-25.5327;-12.2745;21.9846;8.33626;0.786361;0.751191;18.7798;1;0;0;0;0;0;1;1;
8.080;0.720;-24.7532;-12.39;23.7202;6.62693;0.787029;0.78798;19.6995;1;0;0;0;0;0;1;1;
8.120;0.760;-23.9381;-12.4998;23.9043;9.70372;0.799397;0.822498;20.5624;1;0;0;0;0;0;1;1;
8.160;0.800;-23.0781;-12.6087;24.0621;9.15147;0.780563;0.866922;21.6731;1;0;0;0;0;0;1;1;
8.200;0.840;-22.1896;-12.7177;22.5894;10.1508;0.75826;0.895078;22.3769;1;0;0;0;0;0;1;1;
8.240;0.880;-21.2846;-12.8271;24.1147;7.73142;0.803522;0.911583;22.7896;1;0;0;0;0;0;1;1;
8.280;0.920;-20.3723;-12.9375;24.2987;9.12518;0.807957;0.919044;22.9761;1;0;0;0;0;0;1;1;
8.320;0.960;-19.4616;-13.0458;24.6143;9.09888;0.750899;0.917101;22.9275;1;0;0;0;0;0;1;1;
8.360;1.000;-18.5508;-13.1427;23.878;8.30996;0.691753;0.915889;22.8972;1;0;0;0;0;0;1;1;
8.400;1.040;-17.6403;-13.2364;22.379;9.33555;0.669039;0.915308;22.8827;1;0;0;0;0;0;1;1;
8.440;1.080;-16.7427;-13.3153;21.3008;8.12588;0.634494;0.901085;22.5271;1;0;0;0;0;0;1;1;
8.480;1.120;-15.8387;-13.3787;20.8012;9.70372;0.606135;0.906252;22.6563;1;0;0;0;0;0;1;1;
8.520;1.160;-14.9961;-13.4183;20.5382;9.25666;0.557829;0.843499;21.0875;1;0;0;0;0;0;1;1;
8.560;1.200;-14.1677;-13.4267;18.6974;7.46844;0.57792;0.828474;20.7118;1;0;0;0;0;0;1;1;
8.600;1.240;-13.3705;-13.4051;19.8019;8.04698;0.554025;0.797462;19.9365;1;0;0;0;0;0;1;1;
8.640;1.280;-12.5927;-13.3423;19.4074;8.12588;0.561387;0.780344;19.5086;1;0;0;0;0;0;1;1;
8.680;1.320;-11.8455;-13.2452;20.3804;8.70442;0.641754;0.753515;18.8379;1;0;0;0;0;0;1;1;
8.720;1.360;-11.1267;-13.0969;21.3534;8.75701;0.644819;0.73392;18.348;1;0;0;0;0;0;1;1;
8.760;1.400;-10.4439;-12.8907;22.2475;8.30996;0.658188;0.713195;17.8299;1;0;0;0;0;0;1;1;
8.800;1.440;-9.79687;-12.6316;22.7998;8.44144;0.692681;0.696994;17.4249;1;0;0;0;0;0;1;1;
8.840;1.480;-9.18891;-12.3204;23.4572;7.23177;0.68265;0.683003;17.0751;1;0;0;0;0;0;1;1;
8.880;1.520;-8.6208;-11.9629;21.9583;7.65252;0.634658;0.671214;16.7804;1;0;0;0;0;0;1;1;
8.920;1.560;-8.09623;-11.5517;22.9313;7.38955;0.611745;0.666579;16.6645;1;0;0;0;0;0;1;1;
8.960;1.600;-7.62802;-11.0938;22.0372;7.8892;0.617878;0.654868;16.3717;1;0;0;0;0;0;1;1;
9.000;1.640;-7.2124;-10.5905;22.4053;7.73142;0.625956;0.652735;16.3184;1;0;0;0;0;0;1;1;
9.040;1.680;-6.85279;-10.0433;23.1942;7.57363;0.660758;0.654747;16.3687;1;0;0;0;0;0;1;1;
9.080;1.720;-6.55497;-9.45526;21.9583;8.80961;0.667563;0.659186;16.4796;1;0;0;0;0;0;1;1;
9.120;1.760;-6.32949;-8.81864;22.0635;7.57363;0.624958;0.675373;16.8843;1;0;0;0;0;0;1;1;
9.160;1.800;-6.18042;-8.14185;22.6946;8.67812;0.631493;0.693013;17.3253;1;0;0;0;0;0;1;1;
9.200;1.840;-6.11297;-7.42973;22.7998;7.8892;0.677795;0.71531;17.8828;1;0;0;0;0;0;1;1;
9.240;1.880;-6.11913;-6.69323;24.325;8.73072;0.728909;0.736523;18.4131;1;0;0;0;0;0;1;1;
9.280;1.920;-6.21165;-5.95962;23.4309;10.1508;0.679836;0.739424;18.4856;1;0;0;0;0;0;1;1;
9.320;1.960;-6.39375;-5.23579;23.7728;8.75701;0.71188;0.746381;18.6595;1;0;0;0;0;0;1;1;
9.360;2.000;-6.66264;-4.52933;24.8247;10.0456;0.70509;0.755899;18.8975;1;0;0;0;0;0;1;1;
9.400;2.040;-7.00281;-3.85772;22.9313;9.15147;0.660771;0.752846;18.8211;1;0;0;0;0;0;1;1;
9.440;2.080;-7.42194;-3.21779;23.0628;9.96669;0.59444;0.76497;19.1242;1;0;0;0;0;0;1;1;
9.480;2.120;-7.91025;-2.65484;21.4849;9.51964;0.567448;0.74523;18.6308;1;0;0;0;0;0;1;1;
9.520;2.160;-8.45363;-2.15424;21.5638;8.54663;0.633892;0.738823;18.4706;1;0;0;0;0;0;1;1;
9.560;2.200;-9.04268;-1.72875;22.0635;8.12588;0.653365;0.726652;18.1663;1;0;0;0;0;0;1;1;
9.600;2.240;-9.65976;-1.38261;23.2468;7.49474;0.663508;0.707531;17.6883;1;0;0;0;0;0;1;1;
9.640;2.280;-10.292;-1.11432;23.2731;8.02069;0.683056;0.686771;17.1693;1;0;0;0;0;0;1;1;
9.680;2.320;-10.9465;-0.922669;23.1154;7.67882;0.695078;0.682053;17.0513;1;0;0;0;0;0;1;1;
9.720;2.360;-11.6305;-0.802727;23.4835;7.67882;0.698868;0.694432;17.3608;1;0;0;0;0;0;1;1;
9.760;2.400;-12.3156;-0.755052;23.8254;6.23247;0.700423;0.686719;17.168;1;0;0;0;0;0;1;1;
9.800;2.440;-13.0011;-0.755622;22.7735;8.67812;0.670458;0.685528;17.1382;1;0;0;0;0;0;1;1;
9.840;2.480;-13.677;-0.81615;22.195;6.25877;0.681039;0.67858;16.9645;1;0;0;0;0;0;1;1;
9.880;2.520;-14.3401;-0.921839;22.379;6.02209;0.673664;0.671451;16.7863;1;0;0;0;0;0;1;1;
9.920;2.560;-14.9967;-1.05608;22.5894;6.9425;0.64352;0.670183;16.7546;1;0;0;0;0;0;1;1;
9.960;2.600;-15.6369;-1.21816;23.5098;7.17917;0.627706;0.660445;16.5111;1;0;0;0;0;0;1;1;
10.000;2.640;-16.2645;-1.39756;25.4558;10.256;0.605283;0.652667;16.3167;1;0;0;0;0;0;1;1;
10.040;2.680;-16.901;-1.59858;28.5852;11.3867;0.599813;0.667501;16.6875;1;0;0;0;0;0;1;1;
10.080;2.720;-17.5141;-1.81436;27.1388;9.75631;0.68022;0.650028;16.2507;1;0;0;0;0;0;1;1;
10.120;2.760;-18.1198;-2.02904;26.4288;7.54734;0.703851;0.642544;16.0636;1;0;0;0;0;0;1;1;
10.160;2.800;-18.702;-2.27487;29.7949;11.939;0.42384;0.631982;15.7996;1;0;0;0;0;0;1;1;
10.200;2.840;-19.2605;-2.54502;26.534;10.3611;0.681776;0.62048;15.512;1;0;0;0;0;0;1;1;
10.240;2.880;-19.7879;-2.84676;27.06;8.15217;0.627429;0.607574;15.1893;1;0;0;0;0;0;1;1;
10.280;2.920;-20.2738;-3.18727;26.2447;11.0186;0.475065;0.59331;14.8327;1;0;0;0;0;0;1;1;
10.320;2.960;-20.7146;-3.56437;25.5347;10.5452;0.652377;0.58012;14.503;1;0;0;0;0;0;1;1;
10.360;3.000;-21.0987;-3.97184;28.4537;13.6483;0.53389;0.559959;13.999;1;0;0;0;0;0;1;1;
10.400;3.040;-21.4154;-4.41576;28.6115;9.73001;0.632971;0.545308;13.6327;1;0;0;0;0;0;1;1;
10.440;3.080;-21.6704;-4.89773;27.06;12.912;0.628403;0.545297;13.6324;1;0;0;0;0;0;1;1;
